name,bus0,bus1,marginal_cost
0,0,1,0.1
1,3,3,0.1
2,51,4,0.1
3,5,6,0.1
4,6,7,0.1
5,8,9,0.1
6,8,10,0.1
7,11,12,0.1
8,13,14,0.1
9,15,16,0.1
10,17,18,0.1
11,18,19,0.1
12,9,20,0.1
13,21,11,0.1
14,22,23,0.1
15,24,25,0.1
16,25,26,0.1
17,26,27,0.1
18,26,26,0.1
19,28,28,0.1
20,28,28,0.1
21,28,28,0.1
22,28,28,0.1
23,29,30,0.1
24,31,29,0.1
25,32,32,0.1
26,33,33,0.1
27,33,33,0.1
28,34,32,0.1
29,32,33,0.1
30,32,35,0.1
31,35,35,0.1
32,36,36,0.1
33,35,37,0.1
34,38,38,0.1
35,107,39,0.1
36,38,38,0.1
37,38,36,0.1
38,38,63,0.1
39,38,37,0.1
40,41,41,0.1
41,41,38,0.1
42,42,42,0.1
43,42,43,0.1
44,42,42,0.1
45,42,42,0.1
46,42,42,0.1
47,42,42,0.1
48,42,42,0.1
49,42,42,0.1
50,42,42,0.1
51,42,42,0.1
52,42,42,0.1
53,42,44,0.1
54,45,46,0.1
55,42,42,0.1
56,47,47,0.1
57,47,47,0.1
58,47,47,0.1
59,47,48,0.1
60,47,47,0.1
61,47,49,0.1
62,47,47,0.1
63,47,0,0.1
64,47,47,0.1
65,47,47,0.1
66,47,0,0.1
67,47,47,0.1
68,50,51,0.1
69,8,52,0.1
70,16,8,0.1
71,16,8,0.1
72,8,53,0.1
73,10,54,0.1
74,10,51,0.1
75,55,14,0.1
76,55,55,0.1
77,56,55,0.1
78,55,55,0.1
79,19,19,0.1
80,9,19,0.1
81,57,12,0.1
82,58,59,0.1
83,11,24,0.1
84,60,61,0.1
85,62,38,0.1
86,63,63,0.1
87,62,63,0.1
88,64,59,0.1
89,65,27,0.1
90,66,5,0.1
91,27,67,0.1
92,21,5,0.1
93,1,21,0.1
94,152,21,0.1
95,68,152,0.1
96,152,152,0.1
97,21,152,0.1
98,69,70,0.1
99,65,65,0.1
100,64,64,0.1
101,71,67,0.1
102,72,57,0.1
103,73,74,0.1
104,75,76,0.1
105,77,78,0.1
106,40,40,0.1
107,40,40,0.1
108,40,79,0.1
109,40,62,0.1
110,41,40,0.1
111,41,41,0.1
112,41,41,0.1
113,42,80,0.1
114,81,82,0.1
115,83,84,0.1
116,84,86,0.1
117,87,88,0.1
118,89,87,0.1
119,85,90,0.1
120,90,90,0.1
121,90,90,0.1
122,87,91,0.1
123,2,2,0.1
124,88,88,0.1
125,88,88,0.1
126,88,86,0.1
127,3,3,0.1
128,3,3,0.1
129,3,93,0.1
130,3,93,0.1
131,2,2,0.1
132,94,2,0.1
133,2,95,0.1
134,96,2,0.1
135,97,2,0.1
136,98,99,0.1
137,100,101,0.1
138,68,68,0.1
139,68,68,0.1
140,101,101,0.1
141,2,102,0.1
142,178,316,0.1
143,68,64,0.1
144,64,178,0.1
145,68,68,0.1
146,68,68,0.1
147,68,68,0.1
148,68,68,0.1
149,68,68,0.1
150,68,68,0.1
151,68,68,0.1
152,68,68,0.1
153,68,68,0.1
154,68,68,0.1
155,68,68,0.1
156,68,68,0.1
157,68,68,0.1
158,68,178,0.1
159,316,68,0.1
160,68,178,0.1
161,64,64,0.1
162,53,53,0.1
163,53,53,0.1
164,53,103,0.1
165,8,8,0.1
166,8,8,0.1
167,8,8,0.1
168,16,16,0.1
169,16,16,0.1
170,52,52,0.1
171,8,8,0.1
172,8,8,0.1
173,8,8,0.1
174,8,8,0.1
175,8,8,0.1
176,8,8,0.1
177,8,8,0.1
178,52,16,0.1
179,104,53,0.1
180,101,101,0.1
181,101,101,0.1
182,10,10,0.1
183,10,10,0.1
184,101,101,0.1
185,10,10,0.1
186,10,10,0.1
187,105,106,0.1
188,36,92,0.1
189,36,36,0.1
190,36,36,0.1
191,93,93,0.1
192,36,36,0.1
193,93,93,0.1
194,36,36,0.1
195,92,92,0.1
196,92,92,0.1
197,92,92,0.1
198,92,92,0.1
199,36,36,0.1
200,93,93,0.1
201,93,93,0.1
202,36,36,0.1
203,38,107,0.1
204,38,38,0.1
205,108,109,0.1
206,92,110,0.1
207,93,93,0.1
208,93,93,0.1
209,97,111,0.1
210,112,97,0.1
211,93,113,0.1
212,32,32,0.1
213,32,32,0.1
214,73,34,0.1
215,35,33,0.1
216,32,32,0.1
217,32,32,0.1
218,32,32,0.1
219,32,32,0.1
220,33,33,0.1
221,33,33,0.1
222,2,2,0.1
223,2,2,0.1
224,2,2,0.1
225,2,2,0.1
226,2,2,0.1
227,2,2,0.1
228,2,2,0.1
229,114,32,0.1
230,2,2,0.1
231,2,2,0.1
232,2,2,0.1
233,2,2,0.1
234,2,2,0.1
235,2,2,0.1
236,2,2,0.1
237,96,115,0.1
238,97,97,0.1
239,97,97,0.1
240,97,97,0.1
241,97,97,0.1
242,97,97,0.1
243,97,97,0.1
244,97,97,0.1
245,97,97,0.1
246,6,6,0.1
247,110,110,0.1
248,6,6,0.1
249,97,97,0.1
250,110,110,0.1
251,6,6,0.1
252,6,6,0.1
253,6,6,0.1
254,6,6,0.1
255,36,37,0.1
256,10,116,0.1
257,64,64,0.1
258,21,21,0.1
259,21,21,0.1
260,64,64,0.1
261,10,10,0.1
262,10,10,0.1
263,6,6,0.1
264,110,110,0.1
265,110,117,0.1
266,97,118,0.1
267,43,119,0.1
268,43,43,0.1
269,43,43,0.1
270,43,43,0.1
271,43,43,0.1
272,43,43,0.1
273,43,43,0.1
274,43,120,0.1
275,121,122,0.1
276,119,119,0.1
277,119,119,0.1
278,119,119,0.1
279,119,119,0.1
280,44,119,0.1
281,111,119,0.1
282,104,80,0.1
283,80,80,0.1
284,80,80,0.1
285,111,111,0.1
286,111,123,0.1
287,111,111,0.1
288,111,111,0.1
289,111,111,0.1
290,124,124,0.1
291,124,124,0.1
292,125,124,0.1
293,111,111,0.1
294,111,111,0.1
295,111,111,0.1
296,111,111,0.1
297,111,111,0.1
298,111,111,0.1
299,111,111,0.1
300,111,111,0.1
301,111,111,0.1
302,126,123,0.1
303,123,123,0.1
304,123,123,0.1
305,123,123,0.1
306,123,123,0.1
307,123,123,0.1
308,126,127,0.1
309,123,123,0.1
310,128,123,0.1
311,123,230,0.1
312,62,230,0.1
313,129,63,0.1
314,111,130,0.1
315,62,62,0.1
316,62,62,0.1
317,63,131,0.1
318,40,40,0.1
319,63,131,0.1
320,111,111,0.1
321,124,124,0.1
322,124,124,0.1
323,40,40,0.1
324,124,124,0.1
325,124,124,0.1
326,124,124,0.1
327,40,40,0.1
328,40,40,0.1
329,111,111,0.1
330,63,63,0.1
331,124,124,0.1
332,40,40,0.1
333,124,124,0.1
334,124,124,0.1
335,230,124,0.1
336,124,124,0.1
337,119,132,0.1
338,43,43,0.1
