name,membership,carrier,province,p_nom
bio_강원_비회원,비회원,bio,강원,2.67
bio_경기_비회원,비회원,bio,경기,1.669
bio_경남_비회원,비회원,bio,경남,1.6099999999999999
bio_대전_비회원,비회원,bio,대전,0.099
bio_전남_비회원,비회원,bio,전남,0.998
bio_전북_비회원,비회원,bio,전북,3.145
bio_충남_비회원,비회원,bio,충남,3.91
bio_충북_비회원,비회원,bio,충북,0.87
fuelcell_강원_비회원,비회원,fuelcell,강원,0.096
fuelcell_경기_비회원,비회원,fuelcell,경기,1.86
fuelcell_경남_비회원,비회원,fuelcell,경남,0.315
fuelcell_경북_비회원,비회원,fuelcell,경북,1.078
fuelcell_광주_비회원,비회원,fuelcell,광주,0.315
fuelcell_대구_비회원,비회원,fuelcell,대구,0.21
fuelcell_대전_비회원,비회원,fuelcell,대전,0.105
fuelcell_서울_비회원,비회원,fuelcell,서울,0.6
fuelcell_인천_비회원,비회원,fuelcell,인천,0.105
fuelcell_전북_비회원,비회원,fuelcell,전북,0.42
hydro_강원_비회원,비회원,hydro,강원,2.303
hydro_경기_비회원,비회원,hydro,경기,0.45899999999999996
hydro_경남_비회원,비회원,hydro,경남,0.329
hydro_경북_비회원,비회원,hydro,경북,2.3240000000000003
hydro_부산_비회원,비회원,hydro,부산,0.02
hydro_전남_비회원,비회원,hydro,전남,1.157
hydro_전북_비회원,비회원,hydro,전북,0.11
hydro_충남_비회원,비회원,hydro,충남,1.47
hydro_충북_비회원,비회원,hydro,충북,0.6
ocean_전남_비회원,비회원,ocean,전남,0.08
oil_경기_비회원,비회원,oil,경기,0.44999999999999996
oil_경남_비회원,비회원,oil,경남,0.89
oil_경북_비회원,비회원,oil,경북,18.5
oil_인천_비회원,비회원,oil,인천,36.23
oil_전남_비회원,비회원,oil,전남,22.44
oil_전북_비회원,비회원,oil,전북,7.34
oil_제주_비회원,비회원,oil,제주,6.89
oil_충남_비회원,비회원,oil,충남,3.81
solar_강원_비회원,비회원,solar,강원,1143.239275
solar_경기_비회원,비회원,solar,경기,1408.357256
solar_경남_비회원,비회원,solar,경남,1274.702865
solar_경북_비회원,비회원,solar,경북,2827.130579
solar_광주_비회원,비회원,solar,광주,261.06503
solar_대구_비회원,비회원,solar,대구,283.874351
solar_대전_비회원,비회원,solar,대전,44.35362
solar_부산_비회원,비회원,solar,부산,110.250195
solar_서울_비회원,비회원,solar,서울,27.25185
solar_세종_비회원,비회원,solar,세종,47.27491
solar_울산_비회원,비회원,solar,울산,73.21362500000001
solar_인천_비회원,비회원,solar,인천,87.18911
solar_전남_비회원,비회원,solar,전남,2896.82421
solar_전북_비회원,비회원,solar,전북,3604.553082
solar_제주_비회원,비회원,solar,제주,115.46063
solar_충남_비회원,비회원,solar,충남,2133.4664980000002
solar_충북_비회원,비회원,solar,충북,1104.527094
waste_강원_비회원,비회원,waste,강원,0.49
waste_경남_비회원,비회원,waste,경남,0.133
waste_경북_비회원,비회원,waste,경북,0.16
waste_전남_비회원,비회원,waste,전남,0.48
waste_충남_비회원,비회원,waste,충남,0.55
waste_충북_비회원,비회원,waste,충북,1.26
wind_강원_비회원,비회원,wind,강원,0.08
wind_경기_비회원,비회원,wind,경기,0.021
