snapshot,carrier,fuelcost_t
1/10/2025,nuclear,6416.798457
1/10/2025,bituminous,65098.21784
1/10/2025,anthracite,96214.95396
1/10/2025,oil,337113.2033
1/10/2025,LNG,115531.1209
1/9/2025,nuclear,6403.85168
1/9/2025,bituminous,66888.34798
1/9/2025,anthracite,72033.87147
1/9/2025,oil,342461.8241
1/9/2025,LNG,120567.2072
1/8/2025,nuclear,6400
1/8/2025,bituminous,70870
1/8/2025,anthracite,39220
1/8/2025,oil,309970
1/8/2025,LNG,118000
1/7/2025,nuclear,6390
1/7/2025,bituminous,73980
1/7/2025,anthracite,34470
1/7/2025,oil,307820
1/7/2025,LNG,120850
1/6/2025,nuclear,6380
1/6/2025,bituminous,79570
1/6/2025,anthracite,96670
1/6/2025,oil,307800
1/6/2025,LNG,127370
1/5/2025,nuclear,6380
1/5/2025,bituminous,78810
1/5/2025,anthracite,90030
1/5/2025,oil,307820
1/5/2025,LNG,131050
1/4/2025,nuclear,6370
1/4/2025,bituminous,82730
1/4/2025,anthracite,98880
1/4/2025,oil,307740
1/4/2025,LNG,135600
1/3/2025,nuclear,6370
1/3/2025,bituminous,80050
1/3/2025,anthracite,87420
1/3/2025,oil,308210
1/3/2025,LNG,129760
1/2/2025,nuclear,6370
1/2/2025,bituminous,78090
1/2/2025,anthracite,88150
1/2/2025,oil,308400
1/2/2025,LNG,132890
1/1/2025,nuclear,6380
1/1/2025,bituminous,76390
1/1/2025,anthracite,67470
1/1/2025,oil,307830
1/1/2025,LNG,138610
1/12/2024,nuclear,6380
1/12/2024,bituminous,80410
1/12/2024,anthracite,67160
1/12/2024,oil,307690
1/12/2024,LNG,141280
1/11/2024,nuclear,6397
1/11/2024,bituminous,76411
1/11/2024,anthracite,84685
1/11/2024,oil,306960
1/11/2024,LNG,135482
1/10/2024,nuclear,6400
1/10/2024,bituminous,75150
1/10/2024,anthracite,85890
1/10/2024,oil,332810
1/10/2024,LNG,136820
1/9/2024,nuclear,6410
1/9/2024,bituminous,75150
1/9/2024,anthracite,90250
1/9/2024,oil,348530
1/9/2024,LNG,142200
1/8/2024,nuclear,6412
1/8/2024,bituminous,75977
1/8/2024,anthracite,82577
1/8/2024,oil,359503
1/8/2024,LNG,140510
1/7/2024,nuclear,6413
1/7/2024,bituminous,78269
1/7/2024,anthracite,102435
1/7/2024,oil,360015
1/7/2024,LNG,133075
1/6/2024,nuclear,6421
1/6/2024,bituminous,78273
1/6/2024,anthracite,97406
1/6/2024,oil,358215
1/6/2024,LNG,130587
1/5/2024,nuclear,6415
1/5/2024,bituminous,78491
1/5/2024,anthracite,103542
1/5/2024,oil,345997
1/5/2024,LNG,133195.4
1/4/2024,nuclear,6421
1/4/2024,bituminous,77416
1/4/2024,anthracite,101091
1/4/2024,oil,346384
1/4/2024,LNG,136532
1/3/2024,nuclear,6422
1/3/2024,bituminous,76156.8
1/3/2024,anthracite,79789
1/3/2024,oil,346715
1/3/2024,LNG,148730
1/2/2024,nuclear,6411.86
1/2/2024,bituminous,71405.14
1/2/2024,anthracite,61091.52
1/2/2024,oil,347995.87
1/2/2024,LNG,149900.8
1/1/2024,nuclear,6416.12
1/1/2024,bituminous,71791.42
1/1/2024,anthracite,50765.6
1/1/2024,oil,351095.38
1/1/2024,LNG,164635.64
1/12/2023,nuclear,6421
1/12/2023,bituminous,89614.2
1/12/2023,anthracite,87902.6
1/12/2023,oil,341542
1/12/2023,LNG,152245
1/11/2023,nuclear,6384
1/11/2023,bituminous,73729
1/11/2023,anthracite,89061
1/11/2023,oil,339168
1/11/2023,LNG,144737
1/10/2023,nuclear,6377
1/10/2023,bituminous,80054
1/10/2023,anthracite,84968
1/10/2023,oil,336934
1/10/2023,LNG,156185
1/9/2023,nuclear,6370
1/9/2023,bituminous,88325.4
1/9/2023,anthracite,93712
1/9/2023,oil,320657
1/9/2023,LNG,147452
1/8/2023,nuclear,6360
1/8/2023,bituminous,90603
1/8/2023,anthracite,91941
1/8/2023,oil,318633
1/8/2023,LNG,148663
1/7/2023,nuclear,6356
1/7/2023,bituminous,104438
1/7/2023,anthracite,77925
1/7/2023,oil,318240
1/7/2023,LNG,156968
1/6/2023,nuclear,6360
1/6/2023,bituminous,105706
1/6/2023,anthracite,74928
1/6/2023,oil,320673
1/6/2023,LNG,158860
1/5/2023,nuclear,6370
1/5/2023,bituminous,109100
1/5/2023,anthracite,92850
1/5/2023,oil,321000
1/5/2023,LNG,164030
1/4/2023,nuclear,6370
1/4/2023,bituminous,110720
1/4/2023,anthracite,100533
1/4/2023,oil,316834
1/4/2023,LNG,178370
1/3/2023,nuclear,6360
1/3/2023,bituminous,114135
1/3/2023,anthracite,101015
1/3/2023,oil,318381
1/3/2023,LNG,227617
1/2/2023,nuclear,6360
1/2/2023,bituminous,120412
1/2/2023,anthracite,105981
1/2/2023,oil,331060
1/2/2023,LNG,266344
1/1/2023,nuclear,6360
1/1/2023,bituminous,126430
1/1/2023,anthracite,119319
1/1/2023,oil,379015
1/1/2023,LNG,258667
1/12/2022,nuclear,6368
1/12/2022,bituminous,137572
1/12/2022,anthracite,112194
1/12/2022,oil,381051
1/12/2022,LNG,266790
1/11/2022,nuclear,6370
1/11/2022,bituminous,125277
1/11/2022,anthracite,110359
1/11/2022,oil,373958
1/11/2022,LNG,270375
1/10/2022,nuclear,6367
1/10/2022,bituminous,127965
1/10/2022,anthracite,120554
1/10/2022,oil,390623
1/10/2022,LNG,267254
1/9/2022,nuclear,6350
1/9/2022,bituminous,129390
1/9/2022,anthracite,123860
1/9/2022,oil,390490
1/9/2022,LNG,249247
1/8/2022,nuclear,6348
1/8/2022,bituminous,130541
1/8/2022,anthracite,117645
1/8/2022,oil,428339
1/8/2022,LNG,213847
1/7/2022,nuclear,6353
1/7/2022,bituminous,113221
1/7/2022,anthracite,97185
1/7/2022,oil,389626
1/7/2022,LNG,156900
1/6/2022,nuclear,6354
1/6/2022,bituminous,101858
1/6/2022,anthracite,76290
1/6/2022,oil,382371
1/6/2022,LNG,139868
1/5/2022,nuclear,6362
1/5/2022,bituminous,101382
1/5/2022,anthracite,190757
1/5/2022,oil,336503
1/5/2022,LNG,145868
1/4/2022,nuclear,6359
1/4/2022,bituminous,98375
1/4/2022,anthracite,82411
1/4/2022,oil,316265
1/4/2022,LNG,200965
1/3/2022,nuclear,6363
1/3/2022,bituminous,90678
1/3/2022,anthracite,79008
1/3/2022,oil,309270
1/3/2022,LNG,184143
1/2/2022,nuclear,6363
1/2/2022,bituminous,87042
1/2/2022,anthracite,87186
1/2/2022,oil,301093
1/2/2022,LNG,203318
1/1/2022,nuclear,6363
1/1/2022,bituminous,79307
1/1/2022,anthracite,86063
1/1/2022,oil,224672
1/1/2022,LNG,158074
1/12/2021,nuclear,6360
1/12/2021,bituminous,73121
1/12/2021,anthracite,56576
1/12/2021,oil,217037
1/12/2021,LNG,145782
1/11/2021,nuclear,6333
1/11/2021,bituminous,66519
1/11/2021,anthracite,70542
1/11/2021,oil,211781
1/11/2021,LNG,135047
1/10/2021,nuclear,6317
1/10/2021,bituminous,63395
1/10/2021,anthracite,79465
1/10/2021,oil,203648
1/10/2021,LNG,108146
1/9/2021,nuclear,6324
1/9/2021,bituminous,60602
1/9/2021,anthracite,80133
1/9/2021,oil,197384
1/9/2021,LNG,103493
1/8/2021,nuclear,6143
1/8/2021,bituminous,57834
1/8/2021,anthracite,76272
1/8/2021,oil,185265
1/8/2021,LNG,96672
1/7/2021,nuclear,6151
1/7/2021,bituminous,57670
1/7/2021,anthracite,64400
1/7/2021,oil,178415
1/7/2021,LNG,87946
1/6/2021,nuclear,6156
1/6/2021,bituminous,54475
1/6/2021,anthracite,59587
1/6/2021,oil,178337.7
1/6/2021,LNG,84039
1/5/2021,nuclear,6164
1/5/2021,bituminous,53074
1/5/2021,anthracite,52181
1/5/2021,oil,178396
1/5/2021,LNG,79910
1/4/2021,nuclear,6153
1/4/2021,bituminous,49113
1/4/2021,anthracite,59301
1/4/2021,oil,170270
1/4/2021,LNG,76129
1/3/2021,nuclear,6138
1/3/2021,bituminous,48226
1/3/2021,anthracite,62635
1/3/2021,oil,157271
1/3/2021,LNG,82837
1/2/2021,nuclear,6108
1/2/2021,bituminous,45389
1/2/2021,anthracite,66043
1/2/2021,oil,149173
1/2/2021,LNG,75996
1/1/2021,nuclear,6105
1/1/2021,bituminous,44466
1/1/2021,anthracite,66203
1/1/2021,oil,139941
1/1/2021,LNG,70456
1/12/2020,nuclear,6094
1/12/2020,bituminous,44656
1/12/2020,anthracite,19131
1/12/2020,oil,139686
1/12/2020,LNG,65848
1/11/2020,nuclear,6092
1/11/2020,bituminous,46927
1/11/2020,anthracite,22747
1/11/2020,oil,154801
1/11/2020,LNG,50672
1/10/2020,nuclear,6063
1/10/2020,bituminous,48061
1/10/2020,anthracite,69897
1/10/2020,oil,168583
1/10/2020,LNG,50217
1/9/2020,nuclear,6063
1/9/2020,bituminous,49073
1/9/2020,anthracite,74563
1/9/2020,oil,169894
1/9/2020,LNG,55204
1/8/2020,nuclear,6058
1/8/2020,bituminous,50910
1/8/2020,anthracite,68998
1/8/2020,oil,174426
1/8/2020,LNG,63831
1/7/2020,nuclear,6047
1/7/2020,bituminous,53156
1/7/2020,anthracite,64109
1/7/2020,oil,180881
1/7/2020,LNG,78576
1/6/2020,nuclear,6041
1/6/2020,bituminous,53393
1/6/2020,anthracite,69360
1/6/2020,oil,182422
1/6/2020,LNG,80523
1/5/2020,nuclear,6039
1/5/2020,bituminous,53653
1/5/2020,anthracite,62736
1/5/2020,oil,188297
1/5/2020,LNG,84950
1/4/2020,nuclear,6032
1/4/2020,bituminous,51987
1/4/2020,anthracite,64881
1/4/2020,oil,187295
1/4/2020,LNG,80905
1/3/2020,nuclear,6023
1/3/2020,bituminous,51902
1/3/2020,anthracite,69368
1/3/2020,oil,186063
1/3/2020,LNG,84223
1/2/2020,nuclear,5995
1/2/2020,bituminous,52091
1/2/2020,anthracite,70433
1/2/2020,oil,186716
1/2/2020,LNG,82313
1/1/2020,nuclear,5960
1/1/2020,bituminous,51623
1/1/2020,anthracite,69276
1/1/2020,oil,187277
1/1/2020,LNG,84680
1/12/2019,nuclear,5963
1/12/2019,bituminous,54462
1/12/2019,anthracite,72613
1/12/2019,oil,186805
1/12/2019,LNG,82846
1/11/2019,nuclear,5961
1/11/2019,bituminous,55674
1/11/2019,anthracite,70395
1/11/2019,oil,184728
1/11/2019,LNG,82461
1/10/2019,nuclear,5975
1/10/2019,bituminous,55060
1/10/2019,anthracite,64964
1/10/2019,oil,189846
1/10/2019,LNG,91154
1/9/2019,nuclear,5971
1/9/2019,bituminous,56449
1/9/2019,anthracite,66628
1/9/2019,oil,183902
1/9/2019,LNG,82572
1/8/2019,nuclear,5969
1/8/2019,bituminous,59853
1/8/2019,anthracite,71512
1/8/2019,oil,183396
1/8/2019,LNG,85911
1/7/2019,nuclear,5973
1/7/2019,bituminous,59259
1/7/2019,anthracite,59355
1/7/2019,oil,183280
1/7/2019,LNG,83809
1/6/2019,nuclear,5969
1/6/2019,bituminous,56967
1/6/2019,anthracite,68133
1/6/2019,oil,178218
1/6/2019,LNG,83732
1/5/2019,nuclear,5951
1/5/2019,bituminous,53926
1/5/2019,anthracite,69304
1/5/2019,oil,176681
1/5/2019,LNG,81680
1/4/2019,nuclear,5936
1/4/2019,bituminous,54637
1/4/2019,anthracite,71131
1/4/2019,oil,168177
1/4/2019,LNG,103834
1/3/2019,nuclear,5913
1/3/2019,bituminous,55193
1/3/2019,anthracite,57428
1/3/2019,oil,161329
1/3/2019,LNG,116254
1/2/2019,nuclear,5864
1/2/2019,bituminous,56072
1/2/2019,anthracite,61956
1/2/2019,oil,192753
1/2/2019,LNG,112318
1/1/2019,nuclear,5862
1/1/2019,bituminous,59492
1/1/2019,anthracite,60578
1/1/2019,oil,194603
1/1/2019,LNG,113936
1/12/2018,nuclear,5850
1/12/2018,bituminous,58480
1/12/2018,anthracite,69210
1/12/2018,oil,191810
1/12/2018,LNG,114050
1/11/2018,nuclear,5844
1/11/2018,bituminous,58125
1/11/2018,anthracite,63367
1/11/2018,oil,188669
1/11/2018,LNG,107953
1/10/2018,nuclear,5842.8
1/10/2018,bituminous,57326.7
1/10/2018,anthracite,67760.9
1/10/2018,oil,184509.4
1/10/2018,LNG,103393.1
1/9/2018,nuclear,5840
1/9/2018,bituminous,54720
1/9/2018,anthracite,61950
1/9/2018,oil,172220
1/9/2018,LNG,99590
1/8/2018,nuclear,5840
1/8/2018,bituminous,54960
1/8/2018,anthracite,62360
1/8/2018,oil,160620
1/8/2018,LNG,93540
1/7/2018,nuclear,5830.64771
1/7/2018,bituminous,55347.45165
1/7/2018,anthracite,65508.9353
1/7/2018,oil,160352.9184
1/7/2018,LNG,91935.74925
1/6/2018,nuclear,5859.746488
1/6/2018,bituminous,53965.33843
1/6/2018,anthracite,66177.27511
1/6/2018,oil,158816.1287
1/6/2018,LNG,91925.20696
1/5/2018,nuclear,5861.773087
1/5/2018,bituminous,54095.20807
1/5/2018,anthracite,63760.71776
1/5/2018,oil,159161.5543
1/5/2018,LNG,88966.61058
1/4/2018,nuclear,5863.41592
1/4/2018,bituminous,52083.39934
1/4/2018,anthracite,64453.6106
1/4/2018,oil,159298.8036
1/4/2018,LNG,91940.16424
1/3/2018,nuclear,5853.670573
1/3/2018,bituminous,52434.56307
1/3/2018,anthracite,63867.07666
1/3/2018,oil,155987.3566
1/3/2018,LNG,103567.0809
1/2/2018,nuclear,5824.214636
1/2/2018,bituminous,50097.73327
1/2/2018,anthracite,63963.01103
1/2/2018,oil,145529.7202
1/2/2018,LNG,93674.38334
1/1/2018,nuclear,5820.86519
1/1/2018,bituminous,50433.66845
1/1/2018,anthracite,65312.83667
1/1/2018,oil,137883.4089
1/1/2018,LNG,93886.203
1/12/2017,nuclear,5810
1/12/2017,bituminous,49320
1/12/2017,anthracite,59420
1/12/2017,oil,136760
1/12/2017,LNG,91340
1/11/2017,nuclear,5790
1/11/2017,bituminous,47950
1/11/2017,anthracite,63480
1/11/2017,oil,135990
1/11/2017,LNG,83840
1/10/2017,nuclear,5760
1/10/2017,bituminous,46940
1/10/2017,anthracite,64110
1/10/2017,oil,135410
1/10/2017,LNG,84080
1/9/2017,nuclear,5740
1/9/2017,bituminous,48940
1/9/2017,anthracite,53380
1/9/2017,oil,138410
1/9/2017,LNG,82810
1/8/2017,nuclear,5720
1/8/2017,bituminous,48290
1/8/2017,anthracite,56130
1/8/2017,oil,141000
1/8/2017,LNG,81150
1/7/2017,nuclear,5710
1/7/2017,bituminous,48740
1/7/2017,anthracite,66310
1/7/2017,oil,141550
1/7/2017,LNG,78730
1/6/2017,nuclear,5740
1/6/2017,bituminous,48320
1/6/2017,anthracite,66540
1/6/2017,oil,142310
1/6/2017,LNG,84170
1/5/2017,nuclear,5720
1/5/2017,bituminous,49030
1/5/2017,anthracite,64000
1/5/2017,oil,141810
1/5/2017,LNG,83280
1/4/2017,nuclear,5701.1
1/4/2017,bituminous,50219.46
1/4/2017,anthracite,59180.66
1/4/2017,oil,145866.66
1/4/2017,LNG,79249.73
1/3/2017,nuclear,5678.43
1/3/2017,bituminous,47164.11
1/3/2017,anthracite,68840.21
1/3/2017,oil,147876.18
1/3/2017,LNG,96242.4
1/2/2017,nuclear,5671
1/2/2017,bituminous,43994
1/2/2017,anthracite,59445
1/2/2017,oil,137355
1/2/2017,LNG,95786
1/1/2017,nuclear,5667
1/1/2017,bituminous,42550
1/1/2017,anthracite,53870
1/1/2017,oil,132023
1/1/2017,LNG,89532
1/12/2016,nuclear,5658
1/12/2016,bituminous,36492
1/12/2016,anthracite,44457
1/12/2016,oil,128933
1/12/2016,LNG,90116
1/11/2016,nuclear,5642
1/11/2016,bituminous,35030
1/11/2016,anthracite,49861
1/11/2016,oil,124203
1/11/2016,LNG,76563
1/10/2016,nuclear,5628
1/10/2016,bituminous,33985
