snapshot,carrier,marginalcost_t
1/8/2025,nuclear,80651.56433
1/8/2025,bituminous,139117.6112
1/8/2025,anthracite,131814.7549
1/8/2025,oil,559410.8868
1/8/2025,LNG,174913.8245
1/8/2025,PSH,240941.7587
1/8/2025,fuelcell,115960.0301
1/8/2025,IGCC,151846.6763
1/8/2025,solar,123772.3692
1/8/2025,wind,116304.2209
1/8/2025,hydro,135838.9879
1/8/2025,ocean,0
1/8/2025,bio,165417.4696
1/8/2025,waste,
1/8/2025,miscellaneous,176950.4322
1/7/2025,nuclear,82857.78452
1/7/2025,bituminous,145029.0491
1/7/2025,anthracite,135521.0879
1/7/2025,oil,676721.4065
1/7/2025,LNG,171156.2734
1/7/2025,PSH,231297.2476
1/7/2025,fuelcell,118545.0546
1/7/2025,IGCC,141364.1823
1/7/2025,solar,127755.0521
1/7/2025,wind,116039.9627
1/7/2025,hydro,140313.2741
1/7/2025,ocean,0
1/7/2025,bio,155717.5241
1/7/2025,waste,
1/7/2025,miscellaneous,164110.6699
1/6/2025,nuclear,79145.55459
1/6/2025,bituminous,141833.6371
1/6/2025,anthracite,136621.1167
1/6/2025,oil,637480.4949
1/6/2025,LNG,162004.7018
1/6/2025,PSH,198310.6589
1/6/2025,fuelcell,116193.9367
1/6/2025,IGCC,135779.2927
1/6/2025,solar,126086.7862
1/6/2025,wind,116499.3675
1/6/2025,hydro,132620.6619
1/6/2025,ocean,0
1/6/2025,bio,139943.7322
1/6/2025,waste,
1/6/2025,miscellaneous,149262.6383
1/5/2025,nuclear,79950.32325
1/5/2025,bituminous,154718.3262
1/5/2025,anthracite,132504.2993
1/5/2025,oil,416334.8341
1/5/2025,LNG,157341.318
1/5/2025,PSH,170780.7831
1/5/2025,fuelcell,124288.1208
1/5/2025,IGCC,131286.8103
1/5/2025,solar,130548.7259
1/5/2025,wind,123551.3313
1/5/2025,hydro,134636.7261
1/5/2025,ocean,0
1/5/2025,bio,154824.8294
1/5/2025,waste,
1/5/2025,miscellaneous,164392.3723
1/4/2025,nuclear,79593.36966
1/4/2025,bituminous,156848.4992
1/4/2025,anthracite,132269.9878
1/4/2025,oil,392146.0879
1/4/2025,LNG,159361.5213
1/4/2025,PSH,176107.6285
1/4/2025,fuelcell,123269.2578
1/4/2025,IGCC,0
1/4/2025,solar,131629.5524
1/4/2025,wind,121130.7424
1/4/2025,hydro,135758.1446
1/4/2025,ocean,26830.006
1/4/2025,bio,157395.2791
1/4/2025,waste,
1/4/2025,miscellaneous,154102.352
1/3/2025,nuclear,75710.60612
1/3/2025,bituminous,144257.018
1/3/2025,anthracite,125389.6318
1/3/2025,oil,504730.3411
1/3/2025,LNG,154138.3899
1/3/2025,PSH,184893.562
1/3/2025,fuelcell,111836.2126
1/3/2025,IGCC,120366.6995
1/3/2025,solar,114725.6124
1/3/2025,wind,112651.6669
1/3/2025,hydro,130224.5392
1/3/2025,ocean,100289.8075
1/3/2025,bio,155171.7532
1/3/2025,waste,
1/3/2025,miscellaneous,141335.3659
1/2/2025,nuclear,81466.45581
1/2/2025,bituminous,157027.8874
1/2/2025,anthracite,128761.7063
1/2/2025,oil,289150.366
1/2/2025,LNG,162704.5937
1/2/2025,PSH,207882.684
1/2/2025,fuelcell,114370.1279
1/2/2025,IGCC,137515.7093
1/2/2025,solar,124002.8245
1/2/2025,wind,115430.0653
1/2/2025,hydro,141360.9761
1/2/2025,ocean,0
1/2/2025,bio,153627.5407
1/2/2025,waste,
1/2/2025,miscellaneous,148460.4021
1/1/2025,nuclear,82678.53476
1/1/2025,bituminous,157407.5759
1/1/2025,anthracite,143292.4401
1/1/2025,oil,258271.5395
1/1/2025,LNG,170309.6351
1/1/2025,PSH,217055.3953
1/1/2025,fuelcell,114368.3514
