snapshot,carrier,region,components,components_t,attribute,value,status,aggregation
1/9/2025,nuclear,KR,generators,generators_t,fuel_cost,6.40385168,FALSE,national
1/9/2025,bituminous,KR,generators,generators_t,fuel_cost,66.88834798,FALSE,national
1/9/2025,anthracite,KR,generators,generators_t,fuel_cost,72.03387147,FALSE,national
1/9/2025,oil,KR,generators,generators_t,fuel_cost,342.4618241,FALSE,national
1/9/2025,LNG,KR,generators,generators_t,fuel_cost,120.5672072,FALSE,national
1/8/2025,nuclear,KR,generators,generators_t,fuel_cost,6.4,FALSE,national
1/8/2025,bituminous,KR,generators,generators_t,fuel_cost,70.87,FALSE,national
1/8/2025,anthracite,KR,generators,generators_t,fuel_cost,39.22,FALSE,national
1/8/2025,oil,KR,generators,generators_t,fuel_cost,309.97,FALSE,national
1/8/2025,LNG,KR,generators,generators_t,fuel_cost,118,FALSE,national
1/7/2025,nuclear,KR,generators,generators_t,fuel_cost,6.39,FALSE,national
1/7/2025,bituminous,KR,generators,generators_t,fuel_cost,73.98,FALSE,national
1/7/2025,anthracite,KR,generators,generators_t,fuel_cost,34.47,FALSE,national
1/7/2025,oil,KR,generators,generators_t,fuel_cost,307.82,FALSE,national
1/7/2025,LNG,KR,generators,generators_t,fuel_cost,120.85,FALSE,national
1/6/2025,nuclear,KR,generators,generators_t,fuel_cost,6.38,FALSE,national
1/6/2025,bituminous,KR,generators,generators_t,fuel_cost,79.57,FALSE,national
1/6/2025,anthracite,KR,generators,generators_t,fuel_cost,96.67,FALSE,national
1/6/2025,oil,KR,generators,generators_t,fuel_cost,307.8,FALSE,national
1/6/2025,LNG,KR,generators,generators_t,fuel_cost,127.37,FALSE,national
1/5/2025,nuclear,KR,generators,generators_t,fuel_cost,6.38,FALSE,national
1/5/2025,bituminous,KR,generators,generators_t,fuel_cost,78.81,FALSE,national
1/5/2025,anthracite,KR,generators,generators_t,fuel_cost,90.03,FALSE,national
1/5/2025,oil,KR,generators,generators_t,fuel_cost,307.82,FALSE,national
1/5/2025,LNG,KR,generators,generators_t,fuel_cost,131.05,FALSE,national
1/4/2025,nuclear,KR,generators,generators_t,fuel_cost,6.37,FALSE,national
1/4/2025,bituminous,KR,generators,generators_t,fuel_cost,82.73,FALSE,national
1/4/2025,anthracite,KR,generators,generators_t,fuel_cost,98.88,FALSE,national
1/4/2025,oil,KR,generators,generators_t,fuel_cost,307.74,FALSE,national
1/4/2025,LNG,KR,generators,generators_t,fuel_cost,135.6,FALSE,national
1/3/2025,nuclear,KR,generators,generators_t,fuel_cost,6.37,FALSE,national
1/3/2025,bituminous,KR,generators,generators_t,fuel_cost,80.05,FALSE,national
1/3/2025,anthracite,KR,generators,generators_t,fuel_cost,87.42,FALSE,national
1/3/2025,oil,KR,generators,generators_t,fuel_cost,308.21,FALSE,national
1/3/2025,LNG,KR,generators,generators_t,fuel_cost,129.76,FALSE,national
1/2/2025,nuclear,KR,generators,generators_t,fuel_cost,6.37,FALSE,national
1/2/2025,bituminous,KR,generators,generators_t,fuel_cost,78.09,FALSE,national
1/2/2025,anthracite,KR,generators,generators_t,fuel_cost,88.15,FALSE,national
1/2/2025,oil,KR,generators,generators_t,fuel_cost,308.4,FALSE,national
1/2/2025,LNG,KR,generators,generators_t,fuel_cost,132.89,FALSE,national
1/1/2025,nuclear,KR,generators,generators_t,fuel_cost,6.38,FALSE,national
1/1/2025,bituminous,KR,generators,generators_t,fuel_cost,76.39,FALSE,national
1/1/2025,anthracite,KR,generators,generators_t,fuel_cost,67.47,FALSE,national
1/1/2025,oil,KR,generators,generators_t,fuel_cost,307.83,FALSE,national
1/1/2025,LNG,KR,generators,generators_t,fuel_cost,138.61,FALSE,national
