snapshot,region,carrier,p_nom
1/9/2025,서울,fuelcell,87.23
1/9/2025,서울,IGCC,0
1/9/2025,서울,solar,47.95332
1/9/2025,서울,wind,0
1/9/2025,서울,water,0
1/9/2025,서울,ocean,0
1/9/2025,서울,bio,5.8
1/9/2025,서울,waste,0
1/8/2025,서울,fuelcell,87.23
1/8/2025,서울,IGCC,0
1/8/2025,서울,solar,47.95332
1/8/2025,서울,wind,0
1/8/2025,서울,water,0
1/8/2025,서울,ocean,0
1/8/2025,서울,bio,5.8
1/8/2025,서울,waste,0
1/7/2025,서울,fuelcell,87.23
1/7/2025,서울,IGCC,0
1/7/2025,서울,solar,47.83841
1/7/2025,서울,wind,0
1/7/2025,서울,water,0
1/7/2025,서울,ocean,0
1/7/2025,서울,bio,5.8
1/7/2025,서울,waste,0
1/6/2025,서울,fuelcell,87.23
1/6/2025,서울,IGCC,0
1/6/2025,서울,solar,47.83841
1/6/2025,서울,wind,0
1/6/2025,서울,water,0
1/6/2025,서울,ocean,0
1/6/2025,서울,bio,5.8
1/6/2025,서울,waste,0
1/5/2025,서울,fuelcell,87.23
1/5/2025,서울,IGCC,0
1/5/2025,서울,solar,47.80411
1/5/2025,서울,wind,0
1/5/2025,서울,water,0
1/5/2025,서울,ocean,0
1/5/2025,서울,bio,5.8
1/5/2025,서울,waste,0
1/4/2025,서울,fuelcell,87.23
1/4/2025,서울,IGCC,0
1/4/2025,서울,solar,47.804115
1/4/2025,서울,wind,0
1/4/2025,서울,water,0
1/4/2025,서울,ocean,0
1/4/2025,서울,bio,5.8
1/4/2025,서울,waste,0
1/3/2025,서울,fuelcell,87.23
1/3/2025,서울,IGCC,0
1/3/2025,서울,solar,47.747925
1/3/2025,서울,wind,0
1/3/2025,서울,water,0
1/3/2025,서울,ocean,0
1/3/2025,서울,bio,5.8
1/3/2025,서울,waste,0
1/2/2025,서울,fuelcell,87.23
1/2/2025,서울,IGCC,0
1/2/2025,서울,solar,47.685595
1/2/2025,서울,wind,0
1/2/2025,서울,water,0
1/2/2025,서울,ocean,0
1/2/2025,서울,bio,5.8
1/2/2025,서울,waste,0
1/1/2025,서울,fuelcell,86.9
1/1/2025,서울,IGCC,0
1/1/2025,서울,solar,47.685595
1/1/2025,서울,wind,0
1/1/2025,서울,water,0
1/1/2025,서울,ocean,0
1/1/2025,서울,bio,5.8
1/1/2025,서울,waste,0
1/12/2024,서울,fuelcell,86.9
1/12/2024,서울,IGCC,0
1/12/2024,서울,solar,47.660195
1/12/2024,서울,wind,0
1/12/2024,서울,water,0
1/12/2024,서울,ocean,0
1/12/2024,서울,bio,5.8
1/12/2024,서울,waste,0
1/11/2024,서울,fuelcell,86.9
1/11/2024,서울,IGCC,0
1/11/2024,서울,solar,47.562725
1/11/2024,서울,wind,0
1/11/2024,서울,water,0
1/11/2024,서울,ocean,0
1/11/2024,서울,bio,5.8
1/11/2024,서울,waste,0
1/10/2024,서울,fuelcell,86.9
1/10/2024,서울,IGCC,0
1/10/2024,서울,solar,46.731315
1/10/2024,서울,wind,0
1/10/2024,서울,water,0
1/10/2024,서울,ocean,0
1/10/2024,서울,bio,5.8
1/10/2024,서울,waste,0
1/9/2024,서울,fuelcell,86.9
1/9/2024,서울,IGCC,0
1/9/2024,서울,solar,46.726815
1/9/2024,서울,wind,0
1/9/2024,서울,water,0
1/9/2024,서울,ocean,0
1/9/2024,서울,bio,5.8
1/9/2024,서울,waste,0
1/8/2024,서울,fuelcell,86.9
1/8/2024,서울,IGCC,0
1/8/2024,서울,solar,46.726815
1/8/2024,서울,wind,0
1/8/2024,서울,water,0
1/8/2024,서울,ocean,0
1/8/2024,서울,bio,5.8
1/8/2024,서울,waste,0
1/7/2024,서울,fuelcell,86.9
1/7/2024,서울,IGCC,0
1/7/2024,서울,solar,46.726815
1/7/2024,서울,wind,0
1/7/2024,서울,water,0
1/7/2024,서울,ocean,0
1/7/2024,서울,bio,5.8
1/7/2024,서울,waste,0
1/6/2024,서울,fuelcell,86.9
1/6/2024,서울,IGCC,0
1/6/2024,서울,solar,45.788565
1/6/2024,서울,wind,0
1/6/2024,서울,water,0
1/6/2024,서울,ocean,0
1/6/2024,서울,bio,5.8
1/6/2024,서울,waste,0
