name,bus0,bus1,length,circuits,voltage,r,x,b,s_nom,num_parallel,v_nom
0,0,1,185.0521748,1,765000,9.252608738,46.26304369,0,,1,765000
1,3,3,7.144812632,1,154000,0.357240632,1.786203158,0,,1,154000
2,51,4,4.359830582,1,154000,0.217991529,1.089957646,0,,1,154000
3,5,6,13.24838195,1,154000,0.662419097,3.312095486,0,,1,154000
4,6,7,16.35842451,1,154000,0.817921226,4.089606128,0,,1,154000
5,8,9,52.5632066,1,345000,2.62816033,13.14080165,0,,1,345000
6,8,10,93.08416062,1,345000,4.654208031,23.27104016,0,,1,345000
7,11,12,103.7088933,1,765000,5.185444664,25.92722332,0,,1,765000
8,13,14,12.32390291,1,154000,0.616195145,3.080975727,0,,1,154000
9,15,16,75.68883654,1,345000,3.784441827,18.92220914,0,,1,345000
10,17,18,26.14720411,1,154000,1.307360206,6.536801029,0,,1,154000
11,18,19,9.083771088,1,154000,0.454188554,2.270942772,0,,1,154000
12,9,20,21.69136189,1,154000,1.084568094,5.422840471,0,,1,154000
13,21,11,51.25229092,1,765000,2.562614546,12.81307273,0,,1,765000
14,22,23,12.05812472,1,154000,0.602906236,3.014531179,0,,1,154000
15,24,25,11.60592435,1,154000,0.580296218,2.901481088,0,,1,154000
16,25,26,17.26955072,1,154000,0.863477536,4.317387679,0,,1,154000
17,26,27,19.22231776,1,154000,0.961115888,4.80557944,0,,1,154000
18,26,26,1.030938023,1,154000,0.051546901,0.257734506,0,,1,154000
19,28,28,4.943754072,1,154000,0.247187704,1.235938518,0,,1,154000
20,28,28,0.522558203,1,154000,0.02612791,0.130639551,0,,1,154000
21,28,28,2.483147957,1,154000,0.124157398,0.620786989,0,,1,154000
22,28,28,4.372953607,1,154000,0.21864768,1.093238402,0,,1,154000
23,29,30,36.69041523,1,154000,1.834520761,9.172603807,0,,1,154000
24,31,29,15.81265613,1,154000,0.790632807,3.953164033,0,,1,154000
25,32,32,8.824909386,1,154000,0.441245469,2.206227346,0,,1,154000
26,33,33,0.10814897,1,345000,0.005407448,0.027037242,0,,1,345000
27,33,33,0.724620866,1,345000,0.036231043,0.181155216,0,,1,345000
28,34,32,19.01370259,1,345000,0.95068513,4.753425648,0,,1,345000
29,32,33,27.24685759,1,345000,1.362342879,6.811714397,0,,1,345000
30,32,35,21.50567557,1,345000,1.075283778,5.376418892,0,,1,345000
31,35,35,8.070600147,1,345000,0.403530007,2.017650037,0,,1,345000
32,36,36,4.40456845,1,154000,0.220228422,1.101142112,0,,1,154000
33,35,37,8.983872737,1,345000,0.449193637,2.245968184,0,,1,345000
34,38,38,5.745659603,1,154000,0.28728298,1.436414901,0,,1,154000
35,107,39,4.998125407,1,154000,0.24990627,1.249531352,0,,1,154000
36,38,38,2.910895882,1,154000,0.145544794,0.727723971,0,,1,154000
37,38,36,19.40082038,1,154000,0.970041019,4.850205095,0,,1,154000
38,38,63,33.25180957,1,345000,1.662590479,8.312952393,0,,1,345000
39,38,37,30.49781132,1,345000,1.524890566,7.624452831,0,,1,345000
40,41,41,6.665679451,1,345000,0.333283973,1.666419863,0,,1,345000
41,41,38,24.43817,1,345000,1.2219085,6.1095425,0,,1,345000
42,42,42,0.026499957,1,345000,0.001324998,0.006624989,0,,1,345000
43,42,43,65.39773965,1,345000,3.269886983,16.34943491,0,,1,345000
44,42,42,1.244732722,1,380000,0.062236636,0.311183181,0,,1,380000
45,42,42,0.072916313,1,380000,0.003645816,0.018229078,0,,1,380000
46,42,42,0.284916328,1,380000,0.014245816,0.071229082,0,,1,380000
47,42,42,0.023826054,1,380000,0.001191303,0.005956513,0,,1,380000
48,42,42,0.028862026,1,380000,0.001443101,0.007215506,0,,1,380000
49,42,42,0.026303246,1,380000,0.001315162,0.006575811,0,,1,380000
50,42,42,0.083668055,1,345000,0.004183403,0.020917014,0,,1,345000
51,42,42,0.022808536,1,345000,0.001140427,0.005702134,0,,1,345000
52,42,42,0.431978468,1,380000,0.021598923,0.107994617,0,,1,380000
53,42,44,111.3492431,1,345000,5.567462157,27.83731078,0,,1,345000
54,45,46,12.82479917,1,154000,0.641239958,3.206199792,0,,1,154000
55,42,42,0.43639886,1,380000,0.021819943,0.109099715,0,,1,380000
56,47,47,0.034405311,1,345000,0.001720266,0.008601328,0,,1,345000
57,47,47,0.182958427,1,380000,0.009147921,0.045739607,0,,1,380000
58,47,47,0.182789523,1,380000,0.009139476,0.045697381,0,,1,380000
59,47,48,22.3192909,1,345000,1.115964545,5.579822724,0,,1,345000
60,47,47,0.131924532,1,345000,0.006596227,0.032981133,0,,1,345000
61,47,49,84.15754427,1,345000,4.207877214,21.03938607,0,,1,345000
62,47,47,0.858248883,1,380000,0.042912444,0.214562221,0,,1,380000
63,47,0,56.73561511,1,765000,2.836780755,14.18390378,0,,1,765000
64,47,47,0.149646458,1,345000,0.007482323,0.037411614,0,,1,345000
65,47,47,0.078494606,1,345000,0.00392473,0.019623651,0,,1,345000
66,47,0,57.36333387,1,345000,2.868166694,14.34083347,0,,1,345000
67,47,47,1.239809505,1,345000,0.061990475,0.309952376,0,,1,345000
68,50,51,16.03790337,1,154000,0.801895168,4.009475842,0,,1,154000
69,8,52,26.14964464,1,154000,1.307482232,6.537411159,0,,1,154000
70,16,8,35.86862852,1,345000,1.793431426,8.967157131,0,,1,345000
71,16,8,34.96461867,1,345000,1.748230933,8.741154667,0,,1,345000
72,8,53,66.53442287,1,345000,3.326721144,16.63360572,0,,1,345000
73,10,54,9.44596343,1,154000,0.472298172,2.361490858,0,,1,154000
74,10,51,40.53241881,1,154000,2.02662094,10.1331047,0,,1,154000
75,55,14,10.84651471,1,154000,0.542325736,2.711628679,0,,1,154000
76,55,55,1.511822212,1,345000,0.075591111,0.377955553,0,,1,345000
77,56,55,74.81250559,1,345000,3.74062528,18.7031264,0,,1,345000
78,55,55,0.271361462,1,345000,0.013568073,0.067840365,0,,1,345000
79,19,19,5.213594159,1,154000,0.260679708,1.30339854,0,,1,154000
80,9,19,9.18394656,1,154000,0.459197328,2.29598664,0,,1,154000
81,57,12,41.13671166,1,765000,2.056835583,10.28417792,0,,1,765000
82,58,59,13.52973931,1,345000,0.676486966,3.382434828,0,,1,345000
83,11,24,19.54966248,1,154000,0.977483124,4.887415619,0,,1,154000
84,60,61,28.8845928,1,154000,1.44422964,7.221148201,0,,1,154000
85,62,38,47.94991327,1,345000,2.397495663,11.98747832,0,,1,345000
86,63,63,0.555041531,1,154000,0.027752077,0.138760383,0,,1,154000
87,62,63,9.893066518,1,154000,0.494653326,2.47326663,0,,1,154000
88,64,59,19.83170077,1,345000,0.991585038,4.957925192,0,,1,345000
89,65,27,15.26807952,1,154000,0.763403976,3.817019881,0,,1,154000
